JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,STATE_UT_NAME
17.5,27.9,45.1,134,298.7,593,533,343.1,276.8,332.9,187.6,51.6,2841.2,KERALA
2.5,2,7.6,57.9,235,852.4,1055,540.9,220.7,229.4,91.6,24.1,3319.1,KERALA
13.2,18.8,31.2,112,300.4,696.4,670.2,401.3,297.1,299.9,145,44.4,3029.9,KERALA
13,24.9,42.3,136.1,281.8,649.1,591.4,386,270.8,316.6,177.4,41.1,2930.5,KERALA
2.3,3.9,15.1,80.9,256.6,895.8,955.2,500.9,251.2,262.1,130.1,30,3384.1,KERALA
1.7,3.9,12.7,86.8,221.3,660.9,792.9,395.3,211.3,290.4,135.1,22.8,2835.1,KERALA
2.9,6.5,22.5,98.7,158.7,464.3,595.4,333.8,179.2,263.8,138.6,25.6,2290,KERALA
17.5,33.7,62.6,158.5,248.5,457.7,398,258.7,217.9,362.7,221.4,54.5,2491.7,KERALA
3.4,7.5,17,79.2,289.1,707.4,772.9,440.1,277.1,296.3,138.1,35,3063.1,KERALA
19.3,21.1,35.5,116.7,216.6,338.7,228.9,142,161.7,268,192,62.7,1803.2,KERALA
13.4,22.1,43.6,150.4,232.6,651.6,788.9,527.3,308.4,343.2,172.9,48.1,3302.5,KERALA
2.3,1,8.4,46.9,217.6,999.6,1108.5,636.3,263.1,234.9,84.6,18.4,3621.6,KERALA
19.8,45.2,73.9,184.9,294.7,556.9,539.9,352.7,266.2,359.4,213.5,51.3,2958.4,KERALA
4.8,8.3,17.5,83.3,174.6,698.1,1110.4,592.9,230.7,213.1,93.6,25.8,3253.1,KERALA
11.9,36,38.4,59.2,120.9,259.1,287.2,334.4,296.4,190.1,38.8,6.6,1679,ORISSA
11.1,15.9,20.1,22.7,37.5,200.5,386.2,366.9,220.5,69.5,13.6,6.3,1370.8,ORISSA
12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,ORISSA
14.7,26.9,28.9,43.2,74.3,227.2,338,352.3,245,124.5,40.2,4.5,1519.7,ORISSA
7.3,20.8,31.3,38.4,71.2,226.1,315.8,369.1,233.4,125.5,25.5,4.6,1469,ORISSA
13.3,22.7,30.3,41.5,85.3,158.8,219.2,245,210.4,198.4,70.8,8.8,1304.5,ORISSA
4.8,15,15.3,25.6,44.2,237.5,368.5,371.8,229.8,72.3,13.4,4.8,1403,ORISSA
16.2,31.8,37,50.2,101.2,232.9,277.7,320.2,225.7,113.6,24.5,5.7,1436.7,ORISSA
5.2,12.3,16.3,53.2,89.4,200.8,384.1,410.5,267.4,147.6,31.9,3.8,1622.5,ORISSA
11.2,25.4,47.9,61.4,110.2,279.7,323.9,373.8,278.5,119.1,23.6,6,1660.7,ORISSA
16.1,25.8,18.9,17.6,65.3,168.9,268.5,328.4,255.7,185.3,56.3,9.4,1416.2,ORISSA
12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,1533.5,ORISSA
19.3,16.3,18,14.4,39.6,216.9,368.3,373.2,217.5,50.4,8.8,5.1,1347.8,ORISSA
9.9,34.1,37.6,53.1,103.9,218.4,269.8,354,227.7,159.5,35.3,4.1,1507.4,ORISSA
10.6,28.4,33.5,48,91.9,250,283.5,363.2,258.1,134.6,33.6,5.9,1541.3,ORISSA
8.4,32.6,37.2,27.8,90.5,205.8,257.4,362.6,262.7,179.9,70.2,5.5,1540.6,ORISSA
6.9,19.1,25.1,29.7,55.4,205.8,320.2,355.4,228,98.1,14.7,3.6,1362,ORISSA
12.5,11.8,16.9,24,33.9,182.9,347.3,302.1,184.9,60.7,14.8,5.6,1197.4,ORISSA
9.6,10.2,5.6,5.5,15.8,44.2,196.9,213.3,100.9,20,4.1,4.8,630.9,RAJASTHAN
2.8,0.5,1.6,0.9,5.2,97.7,284.3,302.5,147.3,24.4,12.6,3.2,883,RAJASTHAN
9.3,8.9,5.3,3.8,11.2,40.4,184.7,229.8,102.7,17.7,3.4,3.9,621.1,RAJASTHAN
4.8,3.8,3.9,3,10.4,60,213.6,217.7,89.6,11.7,8,3.7,630.2,RAJASTHAN
5.6,3.3,3.3,2.3,6.6,62.2,256.6,235.8,101.3,16.7,8.3,3.6,705.6,RAJASTHAN
4.3,1.5,2.7,3.3,10.1,71.5,249.9,269.9,118.4,18.1,13.2,2.4,765.3,RAJASTHAN
1.7,0.6,1.8,1.2,4.6,77.1,228.5,221.9,110.3,14.8,12.6,2.7,677.8,RAJASTHAN
6.7,7.5,2.4,3.9,15,52.1,206.9,192.5,73.1,11.8,2.7,2.6,577.2,RAJASTHAN
6.8,2.3,3.4,1.4,7,84.1,285.8,335.8,149.4,27,11.6,5.6,920.2,RAJASTHAN
7.7,9.1,6.3,5,20.7,52.9,153.1,144,60,13.3,3.5,5.4,481,RAJASTHAN
6.8,3.2,3.2,2.5,6.9,69.8,275.2,276.8,124.5,24.9,10.6,3.5,807.9,RAJASTHAN
7.3,6.4,2.9,2.9,9.8,53.9,253.4,264.5,92.2,19.4,4.7,3.6,721,RAJASTHAN
7.2,8.3,4.2,4.7,19.1,48.2,167.1,134,53.2,10.7,3.8,3.3,463.8,RAJASTHAN
4.1,1.5,3.2,2.7,10.1,72.2,332,313,151.4,12.9,8.6,1.7,913.4,RAJASTHAN
5,5.3,2.7,3,10.1,56.1,219.7,210.5,79.7,13.9,4.9,3,613.9,RAJASTHAN
2.8,2,4.3,2.2,8.2,73.6,207.5,203.7,106.5,15.2,11.1,2.6,639.7,RAJASTHAN
8.6,9.5,7,2.5,8.6,54.5,211.7,266.1,117.7,26.3,4.3,5.3,722.1,RAJASTHAN
7.1,3.2,2.8,1.7,6.5,73.3,295.3,303.6,120,25.2,9.7,4.3,852.7,RAJASTHAN
8.7,7,4.2,4.1,12.8,52.4,237,228.2,94.5,17.1,4.7,4.1,674.8,RAJASTHAN
4,2.2,3.7,2.6,12.3,68.1,176.8,177.6,83.5,13.7,6.9,3.1,554.5,RAJASTHAN
9.1,7.7,3.5,2.4,9.9,50.8,220.5,269.8,96.3,17,5.4,3.8,696.2,RAJASTHAN
3.6,1.2,3.4,3.3,5.8,108.3,283.3,290.4,163.8,32.8,16.4,3,915.3,RAJASTHAN
